filename,area_px,width_px,height_px,height,biomass,leaf_area
obj1.jpg,25136,197,207,16,65,162
obj10.jpg,279800,684,641,20,120,210
obj11.jpg,101492,464,358,22,457,367
obj12.jpg,89776,496,366,16,84,116
obj13.jpg,74671,353,315,19,254,268
obj14.jpg,46394,304,250,20,302,289
obj15.jpg,34374,183,274,26,544,389
obj2.jpg,173248,631,520,17,70,179
obj20.jpg,84698,354,408,22,198,256
obj3.jpg,16757,170,165,22,255,190
obj4.jpg,239640,647,578,18,99,186
obj5.jpg,47985,282,287,15,50,140
obj6.jpg,27040,269,162,25,508,315
obj7.jpg,45675,348,241,15,65,158
obj8.jpg,294386,654,702,26,614,350
obj9.jpg,100048,419,411,18,207,208
